Station Name,Date,Temp,rh
Battle River Headwaters,01-Apr-14,-7,67.2
Battle River Headwaters,02-Apr-14,-5.6,89.9
Battle River Headwaters,03-Apr-14,-3.9,82.9
Battle River Headwaters,04-Apr-14,2.7,67.3
Battle River Headwaters,05-Apr-14,2.2,69.8
Battle River Headwaters,06-Apr-14,3.8,54
Battle River Headwaters,07-Apr-14,4.8,48.3
Battle River Headwaters,08-Apr-14,8.4,48.6
Battle River Headwaters,09-Apr-14,4.2,47.8
Battle River Headwaters,10-Apr-14,4,48.4
Battle River Headwaters,11-Apr-14,3.3,59
Battle River Headwaters,12-Apr-14,-3.6,64.3
Battle River Headwaters,13-Apr-14,-2.6,64.3
Battle River Headwaters,14-Apr-14,3.6,43.6
Battle River Headwaters,15-Apr-14,2.7,62.5
Battle River Headwaters,16-Apr-14,-2.1,83.9
Battle River Headwaters,17-Apr-14,-1.9,93.9
Battle River Headwaters,18-Apr-14,-1.4,93.5
Battle River Headwaters,19-Apr-14,3.7,67.8
Battle River Headwaters,20-Apr-14,6.8,56.2
Battle River Headwaters,21-Apr-14,7.7,42.2
Battle River Headwaters,22-Apr-14,9.3,45.5
Battle River Headwaters,23-Apr-14,3.2,91.3
Battle River Headwaters,24-Apr-14,3.3,73.3
Battle River Headwaters,25-Apr-14,2.5,78.3
Battle River Headwaters,26-Apr-14,1.7,77.8
Battle River Headwaters,27-Apr-14,4.3,74.4
Battle River Headwaters,28-Apr-14,6.8,53.9
Battle River Headwaters,29-Apr-14,8.6,33.5
Battle River Headwaters,30-Apr-14,11.6,32.5
Battle River Headwaters,01-May-14,12.5,48
Battle River Headwaters,02-May-14,5.6,51.3
Battle River Headwaters,03-May-14,-1.2,74
Battle River Headwaters,04-May-14,-1.3,89
Battle River Headwaters,05-May-14,1.3,71.9
Battle River Headwaters,06-May-14,-0.1,57.8
Battle River Headwaters,07-May-14,2,48.7
Battle River Headwaters,08-May-14,7,52.5
Battle River Headwaters,09-May-14,6.7,50.1
Battle River Headwaters,10-May-14,3.2,54.5
Battle River Headwaters,11-May-14,5.3,40.5
Battle River Headwaters,12-May-14,8.9,36.4
Battle River Headwaters,13-May-14,10.9,41.4
