Station Name,Date,Temp,rh
Brooks,01-Apr-14,-3.7,88.5
Brooks,02-Apr-14,1.3,80.5
Brooks,03-Apr-14,-0.5,82.4
Brooks,04-Apr-14,4.5,67.4
Brooks,05-Apr-14,4.1,63.1
Brooks,06-Apr-14,5.1,59.9
Brooks,07-Apr-14,6.8,56
Brooks,08-Apr-14,11.5,51.1
Brooks,09-Apr-14,5.2,70.5
Brooks,10-Apr-14,4.5,61.5
Brooks,11-Apr-14,6.6,62.6
Brooks,12-Apr-14,-1.7,66.7
Brooks,13-Apr-14,-1.7,61.8
Brooks,14-Apr-14,3.2,47.6
Brooks,15-Apr-14,7.1,43.7
Brooks,16-Apr-14,0.5,74
Brooks,17-Apr-14,4.8,83.7
Brooks,18-Apr-14,5,85.3
Brooks,19-Apr-14,6.3,62.5
Brooks,20-Apr-14,9.6,47.9
Brooks,21-Apr-14,8.2,50.9
Brooks,22-Apr-14,12.2,50.7
Brooks,23-Apr-14,7.7,80.2
Brooks,24-Apr-14,7.5,63.8
Brooks,25-Apr-14,4.6,78.6
Brooks,26-Apr-14,0.7,91.5
Brooks,27-Apr-14,5.2,75.2
Brooks,28-Apr-14,4.3,83.2
Brooks,29-Apr-14,8.6,51.9
Brooks,30-Apr-14,9.5,49.8
Brooks,01-May-14,12.9,52.6
Brooks,02-May-14,7.1,84.9
Brooks,03-May-14,2.3,77.6
Brooks,04-May-14,5,87
Brooks,05-May-14,4.9,81.8
Brooks,06-May-14,2.5,75.6
Brooks,07-May-14,2.2,63.7
Brooks,08-May-14,7.9,53.4
Brooks,09-May-14,9.2,52
Brooks,10-May-14,7,63.7
Brooks,11-May-14,5.5,50.6
Brooks,12-May-14,8.6,44.5
Brooks,13-May-14,11.2,47.8
Brooks,14-May-14,13.1,44.2
Brooks,15-May-14,12.1,60.4
Brooks,16-May-14,8.1,72.7
Brooks,17-May-14,9.8,69
Brooks,18-May-14,12.5,70.7
Brooks,19-May-14,9.6,88.1
Brooks,20-May-14,11.7,70.6
Brooks,21-May-14,15.7,55.5
Brooks,22-May-14,19.7,40.2
Brooks,23-May-14,20,44.1
Brooks,24-May-14,17.4,51.4
Brooks,25-May-14,15.9,62.1
Brooks,26-May-14,15.7,60
Brooks,27-May-14,13.3,59.9
Brooks,28-May-14,12.5,79.2
Brooks,29-May-14,12.8,60.6
Brooks,30-May-14,14.6,49.9
Brooks,31-May-14,14.6,59.4
Brooks,01-Jun-14,13.6,70.2
Brooks,02-Jun-14,15,68.8
Brooks,03-Jun-14,14.8,72.3
Brooks,04-Jun-14,16.1,61.5
Brooks,05-Jun-14,10.6,57
Brooks,06-Jun-14,10.4,60.2
Brooks,07-Jun-14,12.2,59.4
Brooks,08-Jun-14,15.4,49.7
Brooks,09-Jun-14,13.5,59.2
Brooks,10-Jun-14,13.4,51.9
Brooks,11-Jun-14,12.2,67
Brooks,12-Jun-14,14.9,55.8
Brooks,13-Jun-14,11.6,82.4
Brooks,14-Jun-14,10.8,89.8
Brooks,15-Jun-14,11.4,77.6
Brooks,16-Jun-14,13.5,69.7
Brooks,17-Jun-14,12.3,84.9
Brooks,18-Jun-14,12.2,99
Brooks,19-Jun-14,12.8,77.4
Brooks,20-Jun-14,17.7,68.2
Brooks,21-Jun-14,15.1,71.8
Brooks,22-Jun-14,15.8,60.9
Brooks,23-Jun-14,16.7,61.3
Brooks,24-Jun-14,18.7,69.4
Brooks,25-Jun-14,17.4,73.3
Brooks,26-Jun-14,14.9,75.3
Brooks,27-Jun-14,18.2,65.8
Brooks,28-Jun-14,16.2,75
Brooks,29-Jun-14,14,78.8
Brooks,30-Jun-14,17,68.9
Brooks,01-Jul-14,18.4,67.5
Brooks,02-Jul-14,19.6,67.1
Brooks,03-Jul-14,21.6,62.5
