Station Name,Date,Temp,rh
Forestburg AGCM,01-Apr-14,-7,81.5
Forestburg AGCM,02-Apr-14,-7.6,90.7
Forestburg AGCM,03-Apr-14,-8.8,84.1
Forestburg AGCM,04-Apr-14,0.5,75.3
Forestburg AGCM,05-Apr-14,2.1,76
Forestburg AGCM,06-Apr-14,2.7,71.2
Forestburg AGCM,07-Apr-14,4.7,56.8
Forestburg AGCM,08-Apr-14,8.9,56
Forestburg AGCM,09-Apr-14,5.4,49.9
Forestburg AGCM,10-Apr-14,4.4,52.7
Forestburg AGCM,11-Apr-14,4.8,61.7
Forestburg AGCM,12-Apr-14,-3.2,67.2
Forestburg AGCM,13-Apr-14,-2.9,61.4
Forestburg AGCM,14-Apr-14,1.6,52.7
Forestburg AGCM,15-Apr-14,1,71.5
Forestburg AGCM,16-Apr-14,-2.5,81.4
Forestburg AGCM,17-Apr-14,-1.2,89.6
Forestburg AGCM,18-Apr-14,1.1,93.9
Forestburg AGCM,19-Apr-14,5.4,67.2
Forestburg AGCM,20-Apr-14,7,68.9
Forestburg AGCM,21-Apr-14,8.7,51.3
Forestburg AGCM,22-Apr-14,13.2,37.5
Forestburg AGCM,23-Apr-14,6.6,76.2
Forestburg AGCM,24-Apr-14,4.3,70.6
Forestburg AGCM,25-Apr-14,2.7,79
Forestburg AGCM,26-Apr-14,0.6,85.7
Forestburg AGCM,27-Apr-14,2.1,86.3
Forestburg AGCM,28-Apr-14,4.7,75.8
Forestburg AGCM,29-Apr-14,8.9,41.6
Forestburg AGCM,30-Apr-14,11.3,36.4
Forestburg AGCM,01-May-14,13.5,44.4
Forestburg AGCM,02-May-14,6.5,49
Forestburg AGCM,03-May-14,-0.5,72.2
Forestburg AGCM,04-May-14,0.8,91.2
Forestburg AGCM,05-May-14,3.6,71.1
Forestburg AGCM,06-May-14,1.3,62.2
Forestburg AGCM,07-May-14,1.2,57.8
Forestburg AGCM,08-May-14,7.8,48.9
Forestburg AGCM,09-May-14,7.3,53.1
Forestburg AGCM,10-May-14,3.9,52.8
Forestburg AGCM,11-May-14,6,41.4
Forestburg AGCM,12-May-14,8.7,39.9
Forestburg AGCM,13-May-14,10.5,43.8
Forestburg AGCM,14-May-14,14.2,35.5
Forestburg AGCM,15-May-14,11.5,67.6
Forestburg AGCM,16-May-14,7,81
Forestburg AGCM,17-May-14,9.8,63.4
Forestburg AGCM,18-May-14,8.9,82.8
Forestburg AGCM,19-May-14,9.4,81.7
Forestburg AGCM,20-May-14,11.5,68.3
Forestburg AGCM,21-May-14,16.6,49.6
Forestburg AGCM,22-May-14,18.7,41.1
Forestburg AGCM,23-May-14,18.6,42.9
Forestburg AGCM,24-May-14,16.5,44.5
Forestburg AGCM,25-May-14,15.1,55.3
Forestburg AGCM,26-May-14,13.7,76.3
Forestburg AGCM,27-May-14,11.6,69.1
Forestburg AGCM,28-May-14,8.3,84.7
Forestburg AGCM,29-May-14,9.2,82.4
Forestburg AGCM,30-May-14,14.3,53.4
Forestburg AGCM,31-May-14,13.3,65.7
Forestburg AGCM,01-Jun-14,13.7,70.4
Forestburg AGCM,02-Jun-14,15.2,63.9
Forestburg AGCM,03-Jun-14,15.2,64.3
Forestburg AGCM,04-Jun-14,13.9,69.5
Forestburg AGCM,05-Jun-14,6.9,77
Forestburg AGCM,06-Jun-14,9.3,55.3
Forestburg AGCM,07-Jun-14,12.1,52.3
Forestburg AGCM,08-Jun-14,13.7,54.3
Forestburg AGCM,09-Jun-14,12.2,67.8
Forestburg AGCM,10-Jun-14,10.9,65.2
Forestburg AGCM,11-Jun-14,12.1,71.2
Forestburg AGCM,12-Jun-14,14.3,55.1
Forestburg AGCM,13-Jun-14,14.8,50.9
Forestburg AGCM,14-Jun-14,13.6,61
Forestburg AGCM,15-Jun-14,12.7,63.6
Forestburg AGCM,16-Jun-14,11,70.6
Forestburg AGCM,17-Jun-14,12.4,69.4
Forestburg AGCM,18-Jun-14,12.6,93.3
Forestburg AGCM,19-Jun-14,14.2,85.4
Forestburg AGCM,20-Jun-14,16,76.6
Forestburg AGCM,21-Jun-14,15.3,65.5
Forestburg AGCM,22-Jun-14,15.5,56.7
Forestburg AGCM,23-Jun-14,15.8,74.1
Forestburg AGCM,24-Jun-14,17.7,71.4
Forestburg AGCM,25-Jun-14,15.5,85.3
Forestburg AGCM,26-Jun-14,15.8,68.1
Forestburg AGCM,27-Jun-14,17.1,67.7
Forestburg AGCM,28-Jun-14,14.9,83.1
Forestburg AGCM,29-Jun-14,13.8,88.7
Forestburg AGCM,30-Jun-14,15.9,78.8
Forestburg AGCM,01-Jul-14,18.1,71.3
Forestburg AGCM,02-Jul-14,19.3,71.1
Forestburg AGCM,03-Jul-14,20.8,72.7
Forestburg AGCM,04-Jul-14,18.9,71.7
Forestburg AGCM,05-Jul-14,16.9,79.7
Forestburg AGCM,06-Jul-14,17.7,73.1
Forestburg AGCM,07-Jul-14,17.5,69.7
Forestburg AGCM,08-Jul-14,19.1,65.2
Forestburg AGCM,09-Jul-14,21,62.3
Forestburg AGCM,10-Jul-14,15.8,64.1
Forestburg AGCM,11-Jul-14,15.6,69.8
Forestburg AGCM,12-Jul-14,18.7,68.1
Forestburg AGCM,13-Jul-14,18.7,67.5
Forestburg AGCM,14-Jul-14,17.9,58.3
Forestburg AGCM,15-Jul-14,19.5,59.9
Forestburg AGCM,16-Jul-14,21.2,62.9
Forestburg AGCM,17-Jul-14,16,87.7
Forestburg AGCM,18-Jul-14,16.1,76
Forestburg AGCM,19-Jul-14,17,73.2
Forestburg AGCM,20-Jul-14,15.3,76.1
Forestburg AGCM,21-Jul-14,14.7,74.4
Forestburg AGCM,22-Jul-14,17.3,69.2
Forestburg AGCM,23-Jul-14,19,74.3
Forestburg AGCM,24-Jul-14,18.4,60
Forestburg AGCM,25-Jul-14,13.3,85.6
Forestburg AGCM,26-Jul-14,14.5,82.8
Forestburg AGCM,27-Jul-14,16.7,73.9
Forestburg AGCM,28-Jul-14,19.1,74.8
Forestburg AGCM,29-Jul-14,20.9,73.5
Forestburg AGCM,30-Jul-14,21.3,76.2
Forestburg AGCM,31-Jul-14,20.1,84
Forestburg AGCM,01-Aug-14,18.9,78.5
Forestburg AGCM,02-Aug-14,19.5,78.8
Forestburg AGCM,03-Aug-14,20,77.6
Forestburg AGCM,04-Aug-14,18.3,75.2
Forestburg AGCM,05-Aug-14,16.4,81.4
Forestburg AGCM,06-Aug-14,18.7,75.6
Forestburg AGCM,07-Aug-14,18.2,69.2
Forestburg AGCM,08-Aug-14,13.7,87.4
Forestburg AGCM,09-Aug-14,14.8,67.9
Forestburg AGCM,10-Aug-14,17.7,65.6
Forestburg AGCM,11-Aug-14,20,63.1
Forestburg AGCM,12-Aug-14,20.8,66
Forestburg AGCM,13-Aug-14,22.2,70.9
Forestburg AGCM,14-Aug-14,22,77.1
Forestburg AGCM,15-Aug-14,19.4,82.6
Forestburg AGCM,16-Aug-14,18.7,83.7
Forestburg AGCM,17-Aug-14,19.3,77.1
Forestburg AGCM,18-Aug-14,20,65.3
Forestburg AGCM,19-Aug-14,17.6,79.6
Forestburg AGCM,20-Aug-14,14.3,76.5
Forestburg AGCM,21-Aug-14,11.2,78.1
Forestburg AGCM,22-Aug-14,11.9,64.2
Forestburg AGCM,23-Aug-14,11,70
Forestburg AGCM,24-Aug-14,12.9,69.8
Forestburg AGCM,25-Aug-14,12.3,63
Forestburg AGCM,26-Aug-14,18.4,54.9
Forestburg AGCM,27-Aug-14,18.8,59.5
Forestburg AGCM,28-Aug-14,13.6,78.3
Forestburg AGCM,29-Aug-14,13,72.8
Forestburg AGCM,30-Aug-14,14.1,69.4
Forestburg AGCM,31-Aug-14,12.3,63.8
Forestburg AGCM,01-Sep-14,11.9,66.4
Forestburg AGCM,02-Sep-14,11.5,77.1
Forestburg AGCM,03-Sep-14,9.9,80.1
Forestburg AGCM,04-Sep-14,11,69.3
Forestburg AGCM,05-Sep-14,13.6,59
Forestburg AGCM,06-Sep-14,16.1,57.6
Forestburg AGCM,07-Sep-14,14.2,68.4
Forestburg AGCM,08-Sep-14,2.2,95.7
Forestburg AGCM,09-Sep-14,2.3,91.2
Forestburg AGCM,10-Sep-14,2.3,81.8
Forestburg AGCM,11-Sep-14,4.4,66.3
Forestburg AGCM,12-Sep-14,5,80.4
Forestburg AGCM,13-Sep-14,8,70.8
Forestburg AGCM,14-Sep-14,10,65.9
Forestburg AGCM,15-Sep-14,13.3,59.9
Forestburg AGCM,16-Sep-14,15.2,59.8
Forestburg AGCM,17-Sep-14,15.4,63.6
Forestburg AGCM,18-Sep-14,12.8,76.4
Forestburg AGCM,19-Sep-14,13.9,72.9
Forestburg AGCM,20-Sep-14,12.9,53.6
Forestburg AGCM,21-Sep-14,16.5,52.9
Forestburg AGCM,22-Sep-14,18.2,50.2
Forestburg AGCM,23-Sep-14,14.8,68
Forestburg AGCM,24-Sep-14,16.5,64.4
Forestburg AGCM,25-Sep-14,16.3,61.6
Forestburg AGCM,26-Sep-14,9.6,85.9
Forestburg AGCM,27-Sep-14,4.3,86.5
Forestburg AGCM,28-Sep-14,6.4,76.2
Forestburg AGCM,29-Sep-14,9.8,77.5
Forestburg AGCM,30-Sep-14,9.1,84.1
Forestburg AGCM,01-Oct-14,6.9,72.5
Forestburg AGCM,02-Oct-14,0.8,68.6
Forestburg AGCM,03-Oct-14,1.8,65.2
Forestburg AGCM,04-Oct-14,11.3,63.6
Forestburg AGCM,05-Oct-14,11.5,56.4
Forestburg AGCM,06-Oct-14,11,60.4
Forestburg AGCM,07-Oct-14,8.1,59
Forestburg AGCM,08-Oct-14,8.3,57.3
Forestburg AGCM,09-Oct-14,8.1,64.8
Forestburg AGCM,10-Oct-14,9.7,70.1
Forestburg AGCM,11-Oct-14,11.9,53.2
Forestburg AGCM,12-Oct-14,8.5,54.3
Forestburg AGCM,13-Oct-14,7.3,57.7
Forestburg AGCM,14-Oct-14,10.8,56.7
Forestburg AGCM,15-Oct-14,5.5,88.6
Forestburg AGCM,16-Oct-14,5.4,82
Forestburg AGCM,17-Oct-14,6.9,71.1
Forestburg AGCM,18-Oct-14,11.4,55
Forestburg AGCM,19-Oct-14,9.3,60.2
Forestburg AGCM,20-Oct-14,12.5,51.4
