Station Name,Date,Temp,rh
Thorsby AGCM,01-Apr-14,-12.1,79.5
Thorsby AGCM,02-Apr-14,-6.3,88.2
Thorsby AGCM,03-Apr-14,-8.1,82.9
Thorsby AGCM,04-Apr-14,1,77.5
Thorsby AGCM,05-Apr-14,2.1,68.8
Thorsby AGCM,06-Apr-14,4.1,56.2
Thorsby AGCM,07-Apr-14,3.9,56.3
Thorsby AGCM,08-Apr-14,8,51.6
Thorsby AGCM,09-Apr-14,4.4,49.7
Thorsby AGCM,10-Apr-14,4.6,55.6
Thorsby AGCM,11-Apr-14,3.4,69.1
Thorsby AGCM,12-Apr-14,-2.7,66.7
Thorsby AGCM,13-Apr-14,-1.5,67.1
Thorsby AGCM,14-Apr-14,4,53.8
Thorsby AGCM,15-Apr-14,2.1,73.7
Thorsby AGCM,16-Apr-14,-1.6,84.5
Thorsby AGCM,17-Apr-14,-1.5,92
Thorsby AGCM,18-Apr-14,-0.8,91.7
Thorsby AGCM,19-Apr-14,5.2,71.8
Thorsby AGCM,20-Apr-14,7.9,64.4
Thorsby AGCM,21-Apr-14,8.9,46.8
Thorsby AGCM,22-Apr-14,9.9,54.3
Thorsby AGCM,23-Apr-14,4.8,86.5
Thorsby AGCM,24-Apr-14,3.6,77.3
Thorsby AGCM,25-Apr-14,3.6,77.1
Thorsby AGCM,26-Apr-14,2.8,77.4
Thorsby AGCM,27-Apr-14,4.8,77.3
Thorsby AGCM,28-Apr-14,7.6,56.3
Thorsby AGCM,29-Apr-14,9,38.8
Thorsby AGCM,30-Apr-14,12.5,37.9
Thorsby AGCM,01-May-14,13.3,47.7
Thorsby AGCM,02-May-14,6.5,46
Thorsby AGCM,03-May-14,-0.4,72.5
Thorsby AGCM,04-May-14,-1,93.1
Thorsby AGCM,05-May-14,2.8,69.4
Thorsby AGCM,06-May-14,0.9,58.5
Thorsby AGCM,07-May-14,2.2,51.9
Thorsby AGCM,08-May-14,7.2,50.6
Thorsby AGCM,09-May-14,6.8,52.2
Thorsby AGCM,10-May-14,3.3,51.1
Thorsby AGCM,11-May-14,6.5,37.4
Thorsby AGCM,12-May-14,8.9,40.3
Thorsby AGCM,13-May-14,11.3,44.6
Thorsby AGCM,14-May-14,13.3,49.7
Thorsby AGCM,15-May-14,9.7,69.5
Thorsby AGCM,16-May-14,7.6,73
Thorsby AGCM,17-May-14,10.3,62.7
Thorsby AGCM,18-May-14,11.9,62.7
Thorsby AGCM,19-May-14,10.1,71
Thorsby AGCM,20-May-14,13.2,64
Thorsby AGCM,21-May-14,15.9,50.2
Thorsby AGCM,22-May-14,16.8,42.1
Thorsby AGCM,23-May-14,19.3,39.5
Thorsby AGCM,24-May-14,13.9,53.5
Thorsby AGCM,25-May-14,12,72.8
Thorsby AGCM,26-May-14,11,86.5
Thorsby AGCM,27-May-14,11.3,72.1
Thorsby AGCM,28-May-14,7.8,88.4
Thorsby AGCM,29-May-14,8.6,88.6
Thorsby AGCM,30-May-14,13.9,59
Thorsby AGCM,31-May-14,13.8,64.4
Thorsby AGCM,01-Jun-14,13.2,69.8
Thorsby AGCM,02-Jun-14,14.7,62.6
Thorsby AGCM,03-Jun-14,15,65.7
Thorsby AGCM,04-Jun-14,11.8,77.2
Thorsby AGCM,05-Jun-14,6.4,73.8
Thorsby AGCM,06-Jun-14,9.4,55.5
Thorsby AGCM,07-Jun-14,11.6,56.7
Thorsby AGCM,08-Jun-14,14.7,52.6
Thorsby AGCM,09-Jun-14,11.3,73.7
Thorsby AGCM,10-Jun-14,10.2,68.5
Thorsby AGCM,11-Jun-14,11.8,68.4
Thorsby AGCM,12-Jun-14,14.2,57.4
Thorsby AGCM,13-Jun-14,14,62
Thorsby AGCM,14-Jun-14,13.9,62.8
Thorsby AGCM,15-Jun-14,13.9,58.6
Thorsby AGCM,16-Jun-14,12.9,62.6
Thorsby AGCM,17-Jun-14,12.2,74
Thorsby AGCM,18-Jun-14,13.7,73.9
Thorsby AGCM,19-Jun-14,14.5,92.2
Thorsby AGCM,20-Jun-14,16.7,77.4
Thorsby AGCM,21-Jun-14,15.2,58.4
Thorsby AGCM,22-Jun-14,15.5,52.7
Thorsby AGCM,23-Jun-14,16.8,60
Thorsby AGCM,24-Jun-14,19.2,63.9
Thorsby AGCM,25-Jun-14,14.8,80.7
Thorsby AGCM,26-Jun-14,16.2,61.6
Thorsby AGCM,27-Jun-14,16.9,63.8
Thorsby AGCM,28-Jun-14,14.6,82.9
Thorsby AGCM,29-Jun-14,13.5,87.9
Thorsby AGCM,30-Jun-14,16.4,70.8
Thorsby AGCM,01-Jul-14,17.9,65.2
Thorsby AGCM,02-Jul-14,19.7,66.9
Thorsby AGCM,03-Jul-14,21.5,67.5
Thorsby AGCM,04-Jul-14,18,65.3
Thorsby AGCM,05-Jul-14,17.4,72.7
Thorsby AGCM,06-Jul-14,17,72.1
Thorsby AGCM,07-Jul-14,17.8,64.1
Thorsby AGCM,08-Jul-14,19.5,65.5
Thorsby AGCM,09-Jul-14,19.9,73.6
Thorsby AGCM,10-Jul-14,15.1,64.1
Thorsby AGCM,11-Jul-14,16.3,63.9
Thorsby AGCM,12-Jul-14,19.8,61.8
Thorsby AGCM,13-Jul-14,20.8,65.7
Thorsby AGCM,14-Jul-14,19.9,61.4
Thorsby AGCM,15-Jul-14,20.2,68.9
Thorsby AGCM,16-Jul-14,20.6,68.4
Thorsby AGCM,17-Jul-14,14.9,91.4
Thorsby AGCM,18-Jul-14,15.5,78.2
Thorsby AGCM,19-Jul-14,15.7,82.4
Thorsby AGCM,20-Jul-14,13.9,80.6
Thorsby AGCM,21-Jul-14,15.1,71
Thorsby AGCM,22-Jul-14,17.4,70
Thorsby AGCM,23-Jul-14,18.7,73.2
Thorsby AGCM,24-Jul-14,18.1,67.2
Thorsby AGCM,25-Jul-14,12,91.6
Thorsby AGCM,26-Jul-14,14.7,79.6
Thorsby AGCM,27-Jul-14,17.4,73
Thorsby AGCM,28-Jul-14,19.6,75.9
Thorsby AGCM,29-Jul-14,20.6,80.6
Thorsby AGCM,30-Jul-14,22.4,74.4
Thorsby AGCM,31-Jul-14,21.2,71.7
Thorsby AGCM,01-Aug-14,17.8,80.9
Thorsby AGCM,02-Aug-14,20.4,78.5
Thorsby AGCM,03-Aug-14,19.7,83.8
Thorsby AGCM,04-Aug-14,17,81.5
Thorsby AGCM,05-Aug-14,18.4,78.3
Thorsby AGCM,06-Aug-14,18.9,77.1
Thorsby AGCM,07-Aug-14,15.5,79.7
Thorsby AGCM,08-Aug-14,12,91.9
Thorsby AGCM,09-Aug-14,14.3,71.5
Thorsby AGCM,10-Aug-14,17.7,66.8
Thorsby AGCM,11-Aug-14,19.5,65.7
Thorsby AGCM,12-Aug-14,20.3,72.9
Thorsby AGCM,13-Aug-14,21,76.8
Thorsby AGCM,14-Aug-14,20.4,76.4
Thorsby AGCM,15-Aug-14,20,79.8
Thorsby AGCM,16-Aug-14,20.1,81.2
Thorsby AGCM,17-Aug-14,18.1,83.6
Thorsby AGCM,18-Aug-14,19.6,69.8
Thorsby AGCM,19-Aug-14,16.2,81.9
Thorsby AGCM,20-Aug-14,13.2,77.7
Thorsby AGCM,21-Aug-14,10.5,77.9
Thorsby AGCM,22-Aug-14,10.3,66.6
Thorsby AGCM,23-Aug-14,10.1,67.6
Thorsby AGCM,24-Aug-14,11.7,74.7
Thorsby AGCM,25-Aug-14,13.9,66.6
Thorsby AGCM,26-Aug-14,18.5,58.2
Thorsby AGCM,27-Aug-14,17.6,66.3
Thorsby AGCM,28-Aug-14,13.4,74.3
Thorsby AGCM,29-Aug-14,13.2,77
Thorsby AGCM,30-Aug-14,13.3,72.2
Thorsby AGCM,31-Aug-14,11.6,65.5
Thorsby AGCM,01-Sep-14,11,73.1
Thorsby AGCM,02-Sep-14,11.2,78.8
Thorsby AGCM,03-Sep-14,9.7,83
Thorsby AGCM,04-Sep-14,10.7,72.5
Thorsby AGCM,05-Sep-14,13.9,60.6
Thorsby AGCM,06-Sep-14,17.3,55.5
Thorsby AGCM,07-Sep-14,11.8,79.3
Thorsby AGCM,08-Sep-14,1.1,97.1
Thorsby AGCM,09-Sep-14,2.5,90.9
Thorsby AGCM,10-Sep-14,2.4,85.1
Thorsby AGCM,11-Sep-14,3.8,68.5
Thorsby AGCM,12-Sep-14,5.8,86.4
Thorsby AGCM,13-Sep-14,8,76.5
Thorsby AGCM,14-Sep-14,10,72.2
Thorsby AGCM,15-Sep-14,13.2,63.9
Thorsby AGCM,16-Sep-14,14,67.1
Thorsby AGCM,17-Sep-14,13.8,67.9
Thorsby AGCM,18-Sep-14,13.8,78
Thorsby AGCM,19-Sep-14,14.5,69.7
Thorsby AGCM,20-Sep-14,12.9,54.3
Thorsby AGCM,21-Sep-14,17,56.8
Thorsby AGCM,22-Sep-14,18.8,50.6
Thorsby AGCM,23-Sep-14,14.6,71.3
Thorsby AGCM,24-Sep-14,16.3,69.2
Thorsby AGCM,25-Sep-14,14.7,71.7
Thorsby AGCM,26-Sep-14,9.1,87.5
Thorsby AGCM,27-Sep-14,5.2,82.2
Thorsby AGCM,28-Sep-14,7.9,78
Thorsby AGCM,29-Sep-14,11,76
Thorsby AGCM,30-Sep-14,9.8,73.7
Thorsby AGCM,01-Oct-14,6.1,69.4
Thorsby AGCM,02-Oct-14,1.3,62
Thorsby AGCM,03-Oct-14,2.4,66.9
Thorsby AGCM,04-Oct-14,11.6,70.4
Thorsby AGCM,05-Oct-14,11.6,59.9
Thorsby AGCM,06-Oct-14,11.7,58.4
Thorsby AGCM,07-Oct-14,8.4,62.5
