,Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P.18O.,P.2H.,Ps.18O.,Ps.2H.,met_station,rh,temp,EI,starO,starH,sslO,sslH,EO,EH,slope,input,IO,IH
1,Grassland,05BN,152,2015-05-01,1,-5.643127,-86.115065,-0.00564,-0.086115065,-0.017808333,-0.137916667,-0.01245,-0.09725,Tide Lake,0.550354839,279.8209677,1.016561511,0.008531248,-0.00327009,-0.003613791,-0.070800351,-0.022202678,-0.16845222,4.971246501,-58.07723474,-22.47698096,-169.8158477
2,Grassland,05BN,153,2015-05-01,1,-7.59502,-98.245374,-0.0076,-0.098245374,-0.018033333,-0.140083333,-0.01265,-0.09925,Tide Lake,0.550354839,279.8209677,0.836494488,0.008326998,-0.005478298,-0.003827608,-0.072987724,-0.026214716,-0.19044381,4.952986486,-60.6026767,-23.17110718,-175.3688574
3,Grassland,05BN,153,2015-05-12,2,-4.527548,-82.91617,-0.00453,-0.08291617,-0.018033333,-0.140083333,-0.01265,-0.09925,Tide Lake,0.499354839,281.4080645,1.036000872,0.013039823,0.015976385,-0.002910288,-0.070992451,-0.021188769,-0.161479644,4.716043048,-61.55249499,-21.78849968,-164.3079974
4,Grassland,05BN,173,2015-05-01,1,-9.570106,-101.670211,-0.00957,-0.101670211,-0.017658333,-0.1375,-0.012325,-0.09725,Rolling Hills,0.546548387,280.0596774,0.479819924,0.00896893,-0.001978403,-0.003412383,-0.070501561,-0.030900909,-0.199143762,4.569591895,-57.93921656,-19.80499535,-148.4399628
5,Grassland,05BN,173,2015-05-23,2,-3.419488,-71.338266,-0.00342,-0.071338266,-0.017658333,-0.1375,-0.012325,-0.09725,Rolling Hills,0.518322581,282.2725806,1.021632483,0.011362255,0.007523273,-0.002968608,-0.07014804,-0.01857242,-0.13972232,4.513078005,-55.90353922,-18.90020463,-141.201637
6,Grassland,05BN,173,2015-06-13,3,-1.22435,-59.814031,-0.00122,-0.059814031,-0.017658333,-0.1375,-0.012325,-0.09725,Rolling Hills,0.560935484,287.7306452,1.679294424,0.007109305,-0.016763055,-0.004033382,-0.075318327,-0.01140483,-0.105531208,4.488751896,-54.33775369,-18.32332885,-136.5866308
7,Grassland,05BN,173,2015-06-28,4,5.126686,-38.057532,0.00513,-0.038057532,-0.017658333,-0.1375,-0.012325,-0.09725,Rolling Hills,0.583322581,290.1919355,-7.097539898,0.005208249,-0.026695539,-0.004552396,-0.077550603,0.005024932,-0.051451373,127.4779903,-692.019622,5.875723391,57.00578713
8,Grassland,05BN,202,2015-05-02,1,-7.92166,-96.326846,-0.00792,-0.096326846,-0.017916667,-0.13975,-0.01265,-0.0995,Brooks,0.563709677,279.9629032,0.720815956,0.007187364,-0.011351751,-0.004044005,-0.073824033,-0.026580179,-0.185999659,4.805570785,-58.26672538,-21.37055505,-160.9644404
9,Grassland,05BN,202,2015-05-12,2,-2.994967,-71.991736,-0.00299,-0.071991736,-0.017916667,-0.13975,-0.01265,-0.0995,Brooks,0.523,281.3919355,1.238005253,0.010666736,0.004118475,-0.003312433,-0.072271396,-0.017257384,-0.139223303,4.712256139,-57.90209014,-20.65309617,-155.2247694
10,Grassland,05CG,131,2015-05-08,1,-7.390795,-97.706889,-0.00739,-0.097706889,-0.018708333,-0.14475,-0.01335,-0.10375,Hand Hills,0.517645161,279.8435484,0.813229912,0.010627213,0.004210738,-0.003883204,-0.075931012,-0.025797982,-0.185225167,4.754365765,-62.57212599,-22.35992128,-168.8793702
