"","Site_ID","Site_Visit","X","Region","SbWtrshd","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain"
"1","10",1,110,"Parkland","05FC","2015-05-04",-12.593061,-120.170178,-0.01259,-0.120170178,-0.0191,-0.1475,-0.01355,-0.1045,"Stettler",0.562935484,279.0080645,0.381409085,0.006415581,-0.015362395,-0.005021324,-0.079848999,-0.035985614,-0.230120943,4.69963146,-61.00181792,-21.51329982,-162.1063986,-25.5553067525228,33.6685019037385
"2","10",2,111,"Parkland","05FC","2015-05-20",-10.613996,-109.498487,-0.01061,-0.109498487,-0.0191,-0.1475,-0.01355,-0.1045,"Stettler",0.561451613,280.7758065,0.49802214,0.006385814,-0.016944446,-0.005074401,-0.080727872,-0.031410349,-0.206389335,4.65813569,-60.07566733,-20.9690343,-157.7522744,-25.5553067525228,38.2020430386673
"3","10",3,112,"Parkland","05FC","2015-06-16",-6.532413,-89.254098,-0.00653,-0.089254098,-0.0191,-0.1475,-0.01355,-0.1045,"Stettler",0.542645161,287.05,0.836830053,0.007439444,-0.017139614,-0.004998546,-0.083048158,-0.022367725,-0.159774716,4.452698885,-60.17797428,-19.78348384,-148.2678707,-25.5553067525228,48.0772630929226
"4","10",4,113,"Parkland","05FC","2015-06-27",-4.407346,-82.356786,-0.00441,-0.082356786,-0.0191,-0.1475,-0.01355,-0.1045,"Stettler",0.637225806,287.8209677,1.5,0.00048709,-0.047875127,-0.006793718,-0.08779196,-0.012687237,-0.133934834,6.231311906,-54.8767005,-36.68069046,-283.4455237,-25.5553067525228,55.1357200525661
"5","10",5,114,"Parkland","05FC","2015-07-25",-7.399756,-88.005437,-0.0074,-0.088005437,-0.0191,-0.1475,-0.01355,-0.1045,"Stettler",0.671258065,291.2758065,1.020478797,-0.001660713,-0.058311001,-0.007533149,-0.090567678,-0.01870459,-0.140415461,4.636172041,-53.6977639,-18.93609443,-141.4887555,-25.5553067525228,-92.6705492563889
"6","101",1,30,"Grassland","05CH","2015-05-03",-11.880608,-120.218723,-0.01188,-0.120218723,-0.018483333,-0.142916667,-0.013,-0.10125,"Cabin Lake",0.549032258,279.7822581,0.47595507,0.00808784,-0.007081888,-0.004200072,-0.07541192,-0.035090279,-0.231989099,4.815555022,-63.00992934,-22.92705003,-173.4164003,-25.0753396352132,41.3135542843481
"7","101",2,31,"Grassland","05CH","2015-05-22",-5.786482,-91.78466,-0.00579,-0.09178466,-0.018483333,-0.142916667,-0.013,-0.10125,"Cabin Lake",0.491225806,282.45,0.955197548,0.013434584,0.01627492,-0.0032134,-0.073760808,-0.023423254,-0.174784523,4.707007825,-64.53108469,-22.63324075,-171.065926,-25.0753396352132,20.2238525705045
"8","101",3,32,"Grassland","05CH","2015-06-14",-3.316837,-76.519474,-0.00332,-0.076519474,-0.018483333,-0.142916667,-0.013,-0.10125,"Cabin Lake",0.493354839,288.1467742,1.137298083,0.012594508,0.006271229,-0.003538474,-0.077178615,-0.018062474,-0.141738284,4.423871375,-61.83222103,-20.08658764,-150.6927011,-25.0753396352132,17.7907178606267
"9","109",1,33,"Grassland","05CH","2015-05-02",-9.046355,-103.081727,-0.00905,-0.103081727,-0.018425,-0.142666667,-0.013075,-0.10175,"Pollockville",0.579290323,279.1209677,0.689433244,0.005576318,-0.018778354,-0.004779154,-0.076967976,-0.028323722,-0.198264014,4.938448563,-58.3887675,-22.33794496,-168.7035597,-24.896666208903,13.145979098383
"10","109",2,34,"Grassland","05CH","2015-05-14",-3.413852,-76.902393,-0.00341,-0.076902393,-0.018425,-0.142666667,-0.013075,-0.10175,"Pollockville",0.538967742,281.0112903,1.464997892,0.008787676,-0.00498664,-0.004076107,-0.075677893,-0.017015885,-0.145051533,5.008798872,-59.82238885,-23.34259244,-176.7407395,-24.896666208903,21.6443367938777
