"","Region","Site_ID","Site_Visit","X","SbWtrshd.x","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","X18O_snow","X2H_snow","X18O_rain","X2H_rain","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain","SbWtrshd.y","Y_Lat","X_Long"
"1","Grassland","101",2,77,"05CH","2014-05-30",-12.2,-125.68,-0.0122,-0.12568,-0.018483333,-0.142916667,-0.013,-0.10125,-23.76666667,-183.223,-13,-95.69,"Cabin Lake",0.565387096774194,283.843548387097,0.545289561572791,0.00637138903446158,-0.0184582561768909,-0.00470128764914559,-0.0784848656716311,-0.0353156145180542,-0.240770459951718,4.97890548667128,-64.9373530626104,-24.8047033060354,-188.437626448283,-25.0753396352132,2.24123161214121,"05CH",51.03864,-111.31664
"2","Grassland","101",3,78,"05CH","2014-06-15",-9.64,-109.26,-0.00964,-0.10926,-0.018483333,-0.142916667,-0.013,-0.10125,-23.76666667,-183.223,-13,-95.69,"Cabin Lake",0.606935483870968,286.485483870968,0.775327304997105,0.00309466379718327,-0.0348740228114472,-0.00559701377357618,-0.0818516290400128,-0.0285204683095656,-0.205952507034291,5.12129812931082,-59.8906860334437,-24.2785426115388,-184.22834089231,-25.0753396352132,6.59854751704751,"05CH",51.03864,-111.31664
"3","Grassland","101",4,79,"05CH","2014-06-26",-8.72,-100.27,-0.00872,-0.10027,-0.018483333,-0.142916667,-0.013,-0.10125,-23.76666667,-183.223,-13,-95.69,"Cabin Lake",0.658612903225806,286.611290322581,0.950367061363256,-0.000166481986638558,-0.0489817800133753,-0.00657446425151785,-0.0844501505969857,-0.0246162242946872,-0.184814158803704,5.31850565495356,-53.8926306888049,-23.8272479697131,-180.617983757705,-25.0753396352132,10.3358721427638,"05CH",51.03864,-111.31664
"4","Grassland","101",1,76,"05CH","2014-05-10",-16.65,-145.7,-0.01665,-0.1457,-0.018483333,-0.142916667,-0.013,-0.10125,-23.76666667,-183.223,-13,-95.69,"Cabin Lake",0.624451612903226,278.63064516129,0.25597328473823,0.0024290851030117,-0.0331237781760625,-0.00562553677890965,-0.0791870912422126,-0.0471064251352352,-0.301451603167386,5.11391611050229,-60.5532967601368,-24.4460311832501,-185.568249466001,-25.0753396352132,5.21151761336777,"05CH",51.03864,-111.31664
"5","Grassland","109",1,80,"05CH","2014-05-10",-13.76,-132.46,-0.01376,-0.13246,-0.018425,-0.142666667,-0.013075,-0.10175,-23.53333333,-181.326,-13.075,-96.29975,"Pollockville",0.635258064516129,278.495161290323,0.481023032613421,0.00165234450859963,-0.0368487216378901,-0.00585823202419615,-0.0799746515070899,-0.0395480811888389,-0.271449785554867,5.38969086288677,-58.2978537266781,-26.1646610187364,-199.317288149891,-24.896666208903,0,"05CH",51.01003,-111.8337
"6","Grassland","109",2,81,"05CH","2014-05-29",-9.72,-111.28,-0.00972,-0.11128,-0.018425,-0.142666667,-0.013075,-0.10175,-23.53333333,-181.326,-13.075,-96.29975,"Pollockville",0.598064516129032,283.340322580645,0.808651261799471,0.00385351186183514,-0.029749253039884,-0.0053257020189022,-0.0801462020006748,-0.0290902291762987,-0.212423825505281,5.22161222692398,-60.525929154299,-25.3837602647588,-193.070082118071,-24.896666208903,0,"05CH",51.01003,-111.8337
"7","Grassland","109",4,83,"05CH","2014-06-26",-6.79,-84.05,-0.00679,-0.08405,-0.018425,-0.142666667,-0.013075,-0.10175,-23.53333333,-181.326,-13.075,-96.29975,"Pollockville",0.663193548387097,286.624193548387,1.01618128596015,-0.000506045573095717,-0.0506365057089823,-0.00669070677782586,-0.0849189028756777,-0.0187126844283205,-0.140334120900437,4.72075909069123,-51.9960457742066,-18.9056087944678,-141.244870355742,-24.896666208903,50.6786210045694,"05CH",51.01003,-111.8337
"8","Grassland","109",5,84,"05CH","2014-08-17",-9.34,-74.16,-0.00934,-0.07416,-0.018425,-0.142666667,-0.013075,-0.10175,-23.53333333,-181.326,-13.075,-96.29975,"Pollockville",0.698967741935484,292.401612903226,0.0997055604055004,-0.00267458413437297,-0.0618305368073756,-0.00753077296247078,-0.0885689944503675,-0.0242929922147063,-0.0991051659259097,1.668239076683,-58.5786470237808,-10.8308964685064,-76.647171748051,-24.896666208903,100,"05CH",51.01003,-111.8337
"9","Grassland","109",3,82,"05CH","2014-06-16",-9.84,-104.14,-0.00984,-0.10414,-0.018425,-0.142666667,-0.013075,-0.10175,-23.53333333,-181.326,-13.075,-96.29975,"Pollockville",0.627129032258064,286.391935483871,0.596536289332552,0.00168593342802738,-0.0411371284129104,-0.00599870355414669,-0.0830194696433526,-0.0284777919899241,-0.19386623318534,4.81420938885078,-56.7681796137083,-20.9581192750213,-157.66495420017,-24.896666208903,33.3163436040475,"05CH",51.01003,-111.8337
"10","Grassland","110",1,85,"05CH","2014-05-14",-13.58,-128.64,-0.01358,-0.12864,-0.018825,-0.145583333,-0.0133,-0.10325,-24.23333333,-187.017,-13.3,-98.129,"Sheerness",0.591935483870968,278.95,0.395799297201697,0.00439640640004261,-0.0248054164260616,-0.00532160810494263,-0.0798414690355123,-0.0385586065209173,-0.252672861087768,4.96556367081174,-61.2076453503767,-23.4665149060568,-177.732119248454,-25.6936289469401,17.9698299054948,"05CH",51.53699,-111.50533
