Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P(18O),P(2H),Ps(18O),Ps(2H),18O_snow,2H_snow,18O_rain,2H_rain
Grassland,05BN,152,01-May-15,1,-5.643127,-86.115065,-0.00564,-0.086115065,-0.017808333,-0.137916667,-0.01245,-0.09725,-23.16666667,-178.345,-12.45,-91.2185
Grassland,05BN,153,01-May-15,1,-7.59502,-98.245374,-0.0076,-0.098245374,-0.018033333,-0.140083333,-0.01265,-0.09925,-23.16666667,-178.345,-12.65,-92.8445
Grassland,05BN,153,12-May-15,2,-4.527548,-82.91617,-0.00453,-0.08291617,-0.018033333,-0.140083333,-0.01265,-0.09925,-23.16666667,-178.345,-12.65,-92.8445
Grassland,05BN,173,01-May-15,1,-9.570106,-101.670211,-0.00957,-0.101670211,-0.017658333,-0.1375,-0.012325,-0.09725,-23.3,-179.429,-12.325,-90.20225
Grassland,05BN,173,23-May-15,2,-3.419488,-71.338266,-0.00342,-0.071338266,-0.017658333,-0.1375,-0.012325,-0.09725,-23.3,-179.429,-12.325,-90.20225
Grassland,05BN,173,13-Jun-15,3,-1.22435,-59.814031,-0.00122,-0.059814031,-0.017658333,-0.1375,-0.012325,-0.09725,-23.3,-179.429,-12.325,-90.20225
Grassland,05BN,173,28-Jun-15,4,5.126686,-38.057532,0.00513,-0.038057532,-0.017658333,-0.1375,-0.012325,-0.09725,-23.3,-179.429,-12.325,-90.20225
Grassland,05BN,202,02-May-15,1,-7.92166,-96.326846,-0.00792,-0.096326846,-0.017916667,-0.13975,-0.01265,-0.0995,-23.3,-179.429,-12.65,-92.8445
Grassland,05BN,202,12-May-15,2,-2.994967,-71.991736,-0.00299,-0.071991736,-0.017916667,-0.13975,-0.01265,-0.0995,-23.06666667,-177.532,-12.65,-92.8445
Grassland,05CG,131,08-May-15,1,-7.390795,-97.706889,-0.00739,-0.097706889,-0.018708333,-0.14475,-0.01335,-0.10375,-23.06666667,-177.532,-13.35,-98.5355
